# example data set for a 2nd order polynomial fit
#        X          Y
-2.4000e+00 9.4167e+01
-1.6158e+00 5.5095e+01
-8.3158e-01 5.6588e+01
-4.7368e-02 5.8613e+01
7.3684e-01 9.4445e+01
1.5211e+00 6.3623e+01
2.3053e+00 7.7282e+01
3.0895e+00 1.3249e+02
3.8737e+00 1.3067e+02
4.6579e+00 1.6383e+02
5.4421e+00 1.9612e+02
6.2263e+00 2.1842e+02
7.0105e+00 3.1306e+02
7.7947e+00 3.4861e+02
8.5789e+00 3.9534e+02
9.3632e+00 4.6186e+02
1.0147e+01 5.2910e+02
1.0932e+01 5.7369e+02
1.1716e+01 6.7569e+02
1.2500e+01 7.1395e+02
